"id","zipcode","facility_name","facility_code"
"dhl_facility_49008",49008,"ZAMORA",49
"dhl_facility_49009",49009,"ZAMORA",49
"dhl_facility_49010",49010,"ZAMORA",49
"dhl_facility_49011",49011,"ZAMORA",49
"dhl_facility_49012",49012,"ZAMORA",49
"dhl_facility_49013",49013,"ZAMORA",49
"dhl_facility_49014",49014,"ZAMORA",49
"dhl_facility_49015",49015,"ZAMORA",49
"dhl_facility_49016",49016,"ZAMORA",49
"dhl_facility_49017",49017,"ZAMORA",49
"dhl_facility_49018",49018,"ZAMORA",49
"dhl_facility_49019",49019,"ZAMORA",49
"dhl_facility_49020",49020,"ZAMORA",49
"dhl_facility_49021",49021,"ZAMORA",49
"dhl_facility_49022",49022,"ZAMORA",49
"dhl_facility_49023",49023,"ZAMORA",49
"dhl_facility_49024",49024,"ZAMORA",49
"dhl_facility_49025",49025,"ZAMORA",49
"dhl_facility_49026",49026,"ZAMORA",49
"dhl_facility_49027",49027,"ZAMORA",49
"dhl_facility_49028",49028,"ZAMORA",49
"dhl_facility_49029",49029,"ZAMORA",49
"dhl_facility_49030",49030,"ZAMORA",49
"dhl_facility_49031",49031,"ZAMORA",49
"dhl_facility_49032",49032,"ZAMORA",49
"dhl_facility_49080",49080,"ZAMORA",49
"dhl_facility_49100",49100,"ZAMORA",49
"dhl_facility_49110",49110,"ZAMORA",49
"dhl_facility_49120",49120,"ZAMORA",49
"dhl_facility_49121",49121,"ZAMORA",49
"dhl_facility_49122",49122,"ZAMORA",49
"dhl_facility_49123",49123,"ZAMORA",49
"dhl_facility_49124",49124,"ZAMORA",49
"dhl_facility_49125",49125,"ZAMORA",49
"dhl_facility_49126",49126,"ZAMORA",49
"dhl_facility_49127",49127,"ZAMORA",49
"dhl_facility_49128",49128,"ZAMORA",49
"dhl_facility_49129",49129,"ZAMORA",49
"dhl_facility_49130",49130,"ZAMORA",49
"dhl_facility_49131",49131,"ZAMORA",49
"dhl_facility_49132",49132,"ZAMORA",49
"dhl_facility_49133",49133,"ZAMORA",49
"dhl_facility_49134",49134,"ZAMORA",49
"dhl_facility_49135",49135,"ZAMORA",49
"dhl_facility_49136",49136,"ZAMORA",49
"dhl_facility_49137",49137,"ZAMORA",49
"dhl_facility_49140",49140,"ZAMORA",49
"dhl_facility_49141",49141,"ZAMORA",49
"dhl_facility_49142",49142,"ZAMORA",49
"dhl_facility_49143",49143,"ZAMORA",49
"dhl_facility_49144",49144,"ZAMORA",49
"dhl_facility_49145",49145,"ZAMORA",49
